geoid_o,geoid_d,visitor_flows,pop_flows,lat_o,lng_o,lat_d,lng_d,county_o,county_d,pop_o,pop_d,eigen_centrality_o,eigen_centrality_d
6001,6001,114533.72093023255,3154087.511627907,37.650546842122445,-121.91788544949588,37.650546842122445,-121.91788544949588,Alameda County,Alameda County,1680380.0,1680380.0,0.0006849703825067294,0.0006849703825067294
6001,6003,5.848837209302325,158.91860465116278,37.650546842122445,-121.91788544949588,38.59725063434423,-119.8206530334338,Alameda County,Alpine County,1680380.0,1204.0,0.0006849703825067294,1.2022519936765093e-06
6001,6005,31.011627906976745,848.767441860465,37.650546842122445,-121.91788544949588,38.44638950030805,-120.65111562927252,Alameda County,Amador County,1680380.0,40532.0,0.0006849703825067294,1.0843113456028241e-05
6001,6007,64.0813953488372,1765.9302325581396,37.650546842122445,-121.91788544949588,39.66692936367094,-121.60067173183134,Alameda County,Butte County,1680380.0,210135.0,0.0006849703825067294,7.560289554072687e-05
6001,6009,86.25581395348837,2353.267441860465,37.650546842122445,-121.91788544949588,38.20460680352815,-120.55413209741344,Alameda County,Calaveras County,1680380.0,45346.0,0.0006849703825067294,1.3636956817057239e-05
6001,6011,11.0,301.95348837209303,37.650546842122445,-121.91788544949588,39.177573134127535,-122.23702845533448,Alameda County,Colusa County,1680380.0,21858.0,0.0006849703825067294,9.381387280630934e-06
6001,6013,4151.686046511628,114524.83720930232,37.650546842122445,-121.91788544949588,37.92341874155632,-121.95121244528308,Alameda County,Contra Costa County,1680380.0,1165986.0,0.0006849703825067294,0.0003041824954064976
6001,6015,5.604651162790698,150.80232558139534,37.650546842122445,-121.91788544949588,41.7449423699455,-123.9578013579158,Alameda County,Del Norte County,1680380.0,27601.0,0.0006849703825067294,1.2546264161507835e-05
6001,6017,235.8372093023256,6460.13953488372,37.650546842122445,-121.91788544949588,38.778737973176135,-120.5246469276132,Alameda County,El Dorado County,1680380.0,191220.0,0.0006849703825067294,0.0002013512892045872
6001,6019,134.87209302325581,3704.139534883721,37.650546842122445,-121.91788544949588,36.75817909995374,-119.64931992072788,Alameda County,Fresno County,1680380.0,1009503.0,0.0006849703825067294,0.0005983074142187707
6001,6021,10.395348837209303,285.80232558139534,37.650546842122445,-121.91788544949588,39.59840476989015,-122.39220680724118,Alameda County,Glenn County,1680380.0,28896.0,0.0006849703825067294,1.2402806423129085e-05
6001,6023,28.75581395348837,778.3837209302326,37.650546842122445,-121.91788544949588,40.70500910443826,-123.91581945049178,Alameda County,Humboldt County,1680380.0,136261.0,0.0006849703825067294,8.512797234763837e-05
6001,6025,3.511627906976744,96.70930232558139,37.650546842122445,-121.91788544949588,33.039505999919136,-115.3653197293723,Alameda County,Imperial County,1680380.0,179595.0,0.0006849703825067294,0.00010393362004348861
6001,6027,2.5232558139534884,69.19767441860465,37.650546842122445,-121.91788544949588,36.51112680806087,-117.41078968308284,Alameda County,Inyo County,1680380.0,19001.0,0.0006849703825067294,0.0002242782535814334
6001,6029,90.75581395348837,2503.0348837209303,37.650546842122445,-121.91788544949588,35.34284876287472,-118.72990002272375,Alameda County,Kern County,1680380.0,905828.0,0.0006849703825067294,0.0027950263329687584
6001,6031,21.546511627906977,594.1860465116279,37.650546842122445,-121.91788544949588,36.07536098867834,-119.81550249362245,Alameda County,Kings County,1680380.0,152790.0,0.0006849703825067294,9.165145398018933e-05
6001,6033,32.41860465116279,885.5813953488372,37.650546842122445,-121.91788544949588,39.09964534019901,-122.75318391622451,Alameda County,Lake County,1680380.0,68195.0,0.0006849703825067294,1.1497939822681684e-05
6001,6035,3.488372093023256,94.74418604651163,37.650546842122445,-121.91788544949588,40.67359039032007,-120.5943328310108,Alameda County,Lassen County,1680380.0,32317.0,0.0006849703825067294,9.373545160389796e-06
6001,6037,492.6046511627907,13571.162790697674,37.650546842122445,-121.91788544949588,34.19800147820897,-118.26101696970832,Alameda County,Los Angeles County,1680380.0,9992236.0,0.0006849703825067294,1.0
6001,6039,27.290697674418603,750.5930232558139,37.650546842122445,-121.91788544949588,37.21803147751612,-119.76264813255864,Alameda County,Madera County,1680380.0,156343.0,0.0006849703825067294,0.00012189550787288877
6001,6041,306.74418604651163,8470.244186046511,37.650546842122445,-121.91788544949588,38.05518332680756,-122.74885854934313,Alameda County,Marin County,1680380.0,261282.0,0.0006849703825067294,7.20643548929031e-05
6001,6043,23.151162790697676,633.7093023255813,37.650546842122445,-121.91788544949588,37.58152187460611,-119.9055172810364,Alameda County,Mariposa County,1680380.0,17118.0,0.0006849703825067294,5.0805031131539796e-05
6001,6045,57.2906976744186,1568.2325581395348,37.650546842122445,-121.91788544949588,39.4336238311982,-123.43155391611874,Alameda County,Mendocino County,1680380.0,91361.0,0.0006849703825067294,4.530387895018086e-05
6001,6047,81.93023255813954,2259.220930232558,37.650546842122445,-121.91788544949588,37.19187047087785,-120.71768800001988,Alameda County,Merced County,1680380.0,281814.0,0.0006849703825067294,0.00016950852721228418
6001,6049,1.1046511627906976,30.069767441860463,37.650546842122445,-121.91788544949588,41.58983357414569,-120.72502895942912,Alameda County,Modoc County,1680380.0,8663.0,0.0006849703825067294,1.6330626088893115e-06
6001,6051,14.523255813953488,387.51162790697674,37.650546842122445,-121.91788544949588,37.93899035009903,-118.88670926751536,Alameda County,Mono County,1680380.0,13226.0,0.0006849703825067294,0.0003288568428499343
6001,6053,209.04651162790697,5766.093023255814,37.650546842122445,-121.91788544949588,36.23977439726873,-121.3089015574753,Alameda County,Monterey County,1680380.0,438390.0,0.0006849703825067294,0.0002942209875445851
